category,brand,product_name,discounted_price,original_price,image_url
fruits vegetables,Fresho,Watermelon - Organically Grown (Loose),₹67,₹94.52,"https://www.bigbasket.com/media/uploads/p/m/40023482_8-fresho-watermelon-organically-grown.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Chilli - Green Long, Medium (Loose)",₹122,₹167.12,"https://www.bigbasket.com/media/uploads/p/m/10000333_14-fresho-chilli-green-long-medium.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Green Peas (Loose),₹124,₹172.6,"https://www.bigbasket.com/media/uploads/p/m/10000284_11-fresho-green-peas.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Onion - Sambhar (Loose),₹88,₹120.55,"https://www.bigbasket.com/media/uploads/p/m/10000331_13-fresho-onion-sambhar.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Apple - Shimla, Regular",₹348.01,₹476.72,"https://www.bigbasket.com/media/uploads/p/m/1203769_1-fresho-apple-shimla-regular.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Jackfruit - Cut, Raw",₹40,₹54.79,"https://www.bigbasket.com/media/uploads/p/m/40100024_3-fresho-jackfruit-cut-raw.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Orange - Imported (Loose),₹114,₹178.08,"https://www.bigbasket.com/media/uploads/p/m/20000909_18-fresho-orange-imported.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Orange - Imported (Loose),₹171,₹264.38,"https://www.bigbasket.com/media/uploads/p/m/20000910_12-fresho-orange-imported.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Apple - Royal Gala Economy,₹235,₹326.03,"https://www.bigbasket.com/media/uploads/p/m/10000005_27-fresho-apple-royal-gala-economy.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Ash Gourd - Cut,₹44,₹60.27,"https://www.bigbasket.com/media/uploads/p/m/40050704_2-fresho-ash-gourd-cut.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Apple - Shimla, Premium",₹418,₹572.6,"https://www.bigbasket.com/media/uploads/p/m/1203768_1-fresho-apple-shimla-premium.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Banana - Red,₹79,₹120.55,"https://www.bigbasket.com/media/uploads/p/m/10000582_12-fresho-banana-red.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Lettuce - Green,₹246,₹336.99,"https://www.bigbasket.com/media/uploads/p/m/10000318_13-fresho-lettuce-green.jpg?tr=w-3840,q=80"
